x,y
-5.00, 38.01
-4.90, 36.78
-4.80, 35.61
-4.70, 34.55
-4.60, 33.51
-4.50, 32.33
-4.40, 31.21
-4.30, 30.15
-4.20, 29.11
-4.10, 28.05
-4.00, 27.05
-3.90, 26.11
-3.80, 25.21
-3.70, 24.33
-3.60, 23.41
-3.50, 22.45
-3.40, 21.61
-3.30, 20.78
-3.20, 19.95
-3.10, 19.11
-3.00, 18.25
-2.90, 17.41
-2.80, 16.65
-2.70, 15.91
-2.60, 15.11
-2.50, 14.35
-2.40, 13.61
-2.30, 12.95
-2.20, 12.33
-2.10, 11.71
-2.00, 11.11
-1.90, 10.55
-1.80, 10.05
-1.70, 9.61
-1.60, 9.21
-1.50, 8.85
-1.40, 8.55
-1.30, 8.31
-1.20, 8.11
-1.10, 7.95
-1.00, 7.99
-0.90, 7.95
-0.80, 8.01
-0.70, 8.11
-0.60, 8.19
-0.50, 8.33
-0.40, 8.41
-0.30, 8.49
-0.20, 8.55
-0.10, 8.59
0.00, 8.00
0.10, 8.61
0.20, 8.55
0.30, 8.45
0.40, 8.39
0.50, 8.35
0.60, 8.21
0.70, 8.11
0.80, 8.05
0.90, 8.01
1.00, 8.05
1.10, 8.11
1.20, 8.25
1.30, 8.41
1.40, 8.65
1.50, 8.89
1.60, 9.21
1.70, 9.65
1.80, 10.01
1.90, 10.45
2.00, 11.01
2.10, 11.75
2.20, 12.33
2.30, 12.91
2.40, 13.65
2.50, 14.41
2.60, 15.15
2.70, 15.99
2.80, 16.71
2.90, 17.45
3.00, 18.29
3.10, 19.15
3.20, 20.01
3.30, 20.85
3.40, 21.75
3.50, 22.75
3.60, 23.61
3.70, 24.55
3.80, 25.45
3.90, 26.31
4.00, 27.21
4.10, 28.15
4.20, 29.15
4.30, 30.11
4.40, 31.11
4.50, 32.19
4.60, 33.25
4.70, 34.33
4.80, 35.45
4.90, 36.61
5.00, 37.89
